ID,Negara,Benua,NamaKomoditi,Tahun,Volume,Nilai,NegaraID,KomoditiID
350,Malaysia,Asia,semua komoditi - all commodities,2001,54074,35947,9,0
351,Arab Saudi,Asia,semua komoditi - all commodities,2001,4380,10505,10,0
352,Yordania,Asia,semua komoditi - all commodities,2001,1935,4159,11,0
353,Mesir,Afrika,semua komoditi - all commodities,2001,4903,8392,12,0
354,Australia,Australia,semua komoditi - all commodities,2001,5711,18365,13,0
355,Amerika Serikat,Amerika,semua komoditi - all commodities,2001,54160,318962,14,0
356,Kanada,Amerika,semua komoditi - all commodities,2001,2671,9942,15,0
357,UK,Eropa,semua komoditi - all commodities,2001,11560,50857,16,0
358,Belanda,Eropa,semua komoditi - all commodities,2001,12238,46095,17,0
359,Perancis,Eropa,semua komoditi - all commodities,2001,7842,25894,18,0
360,Jerman,Eropa,semua komoditi - all commodities,2001,4400,20574,19,0
361,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2001,4809,21179,20,0
362,Swedia,Eropa,semua komoditi - all commodities,2001,393,2315,21,0
363,Denmark,Eropa,semua komoditi - all commodities,2001,4341,5062,22,0
364,Irlandia,Eropa,semua komoditi - all commodities,2001,132,936,23,0
365,Italia,Eropa,semua komoditi - all commodities,2001,1844,4509,24,0
366,Spanyol,Eropa,semua komoditi - all commodities,2001,6071,5890,25,0
367,Yunani,Eropa,semua komoditi - all commodities,2001,71,310,26,0
368,Bulgaria,Eropa,semua komoditi - all commodities,2001,932,2256,27,0
369,Polandia,Eropa,semua komoditi - all commodities,2001,270,463,28,0
370,Slovenia,Eropa,semua komoditi - all commodities,2001,92,180,29,0
371,Rusia,Eropa,semua komoditi - all commodities,2001,170,1148,30,0
372,Negara lainnya,Lainnya,semua komoditi - all commodities,2001,21889,24666,31,0
373,Jepang,Asia,semua komoditi - all commodities,2002,136033,737077,1,0
374,Hongkong,Asia,semua komoditi - all commodities,2002,33970,52569,2,0
375,Korea Selatan,Asia,semua komoditi - all commodities,2002,17089,18205,3,0
376,Taiwan,Asia,semua komoditi - all commodities,2002,18959,23092,4,0
377,Cina,Asia,semua komoditi - all commodities,2002,40779,25511,5,0
378,Thailand,Asia,semua komoditi - all commodities,2002,60202,29336,6,0
379,Singapura,Asia,semua komoditi - all commodities,2002,51581,66524,7,0
380,Filipina,Asia,semua komoditi - all commodities,2002,4615,5766,8,0
381,Malaysia,Asia,semua komoditi - all commodities,2002,47062,38378,9,0
382,Arab Saudi,Asia,semua komoditi - all commodities,2002,4208,9372,10,0
383,Yordania,Asia,semua komoditi - all commodities,2002,1607,3825,11,0
384,Mesir,Afrika,semua komoditi - all commodities,2002,5733,10274,12,0
385,Australia,Australia,semua komoditi - all commodities,2002,5109,11770,13,0
386,Amerika Serikat,Amerika,semua komoditi - all commodities,2002,57194,328109,14,0
