ID,NamaProvinsi,Wilayah,NamaKomoditi,Tahun,Volume,Nilai,ProvinsiID,KomoditiID
286,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2008,0,0,63,0
287,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2008,0.06,0.715,64,0
288,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2008,0,0,71,0
289,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2008,0,0,74,0
290,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2008,219.008,123.64,73,0
292,Gorontalo,Sulawesi,semua komoditi - all commodities,2008,0,0,75,0
293,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2008,0,0,76,0
294,Maluku,Maluku - Papua,semua komoditi - all commodities,2008,1335.42,1585.279,81,0
295,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2008,0,0,82,0
296,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2008,0,0,91,0
297,Papua,Maluku - Papua,semua komoditi - all commodities,2008,109.503,329.541,94,0
298,Aceh,Sumatera,semua komoditi - all commodities,2009,131.786,59.243,11,0
299,Sumatera Utara,Sumatera,semua komoditi - all commodities,2009,31978.165,27030.879,12,0
300,Sumatera Barat,Sumatera,semua komoditi - all commodities,2009,0,0,13,0
301,Riau,Sumatera,semua komoditi - all commodities,2009,837.782,371.356,14,0
302,Jambi,Sumatera,semua komoditi - all commodities,2009,4267.986,2001.076,15,0
303,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2009,0,0,16,0
304,Bengkulu,Sumatera,semua komoditi - all commodities,2009,0,0,17,0
305,Lampung,Sumatera,semua komoditi - all commodities,2009,16600.473,16070.115,18,0
306,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2009,0,0,19,0
307,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2009,4065.133,5006.271,21,0
308,DKI Jakarta,Jawa,semua komoditi - all commodities,2009,183948.604,159906.258,31,0
309,Jawa Barat,Jawa,semua komoditi - all commodities,2009,0,0,32,0
310,Jawa Tengah,Jawa,semua komoditi - all commodities,2009,3582.04,4442.037,33,0
311,DI Yogyakarta,Jawa,semua komoditi - all commodities,2009,0,0,34,0
312,Jawa Timur,Jawa,semua komoditi - all commodities,2009,75544.947,74015.162,35,0
313,Banten,Jawa,semua komoditi - all commodities,2009,0.854,0.75,36,0
314,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2009,3892.751,3689.677,51,0
315,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2009,498.766,273.639,52,0
316,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2009,0,0,53,0
317,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2009,2915.476,2508.077,61,0
318,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2009,0,0,62,0
319,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2009,2.325,1.325,63,0
320,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2009,0,0,64,0
321,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2009,16.368,56.8,71,0
322,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2009,0,0,74,0
323,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2009,150.595,262.52,73,0
325,Gorontalo,Sulawesi,semua komoditi - all commodities,2009,0,0,75,0
326,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2009,0,0,76,0
327,Maluku,Maluku - Papua,semua komoditi - all commodities,2009,3429.069,4496.337,81,0
328,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2009,0,0,82,0
